Player,Total Hands,VPIP Hands,VPIP %,Evaluation,Sample Size Adequate
70bcf256,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
10392725,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
e025df94,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
9bc8386,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
73682246,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
b26ad954,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
567830db,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
be371600,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
a52538e,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
3b216d1c,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
fd4703e3,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
9b2f2428,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
cb987116,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
c32ddf74,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
59a05aa0,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
dc06a4b8,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
56640090,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
942af666,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
d3baa206,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
472d279e,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
febb8b03,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
aa81a28f,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
5725be4f,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
bc00a523,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ac4a6064,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
c2143d25,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
4ad79f79,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
418289b0,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
6f086d39,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
effdb5ef,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
572aa7ad,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
202d973b,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
c2002ddb,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
1dbab20d,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
281bedb1,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ddd69667,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
cbb57b8,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
3e4f729d,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
57b30b18,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ceba5aa2,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
689138a4,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
909d8acc,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
a58470c1,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ee489ab4,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
c2efb543,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
b213f49b,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
68f55461,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
b3d19eac,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
f5c1fc6d,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ac6501c3,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
6863e136,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
b4b50b41,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
40248f42,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
47494b5b,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
f651985,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
468b216c,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
775dfb45,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
24cb9eae,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
242c2683,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
8563d168,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
29bdeb43,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
1f6299b6,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
7455e221,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
d8071500,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
882ed5dc,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
64deaf18,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
3cc4755,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
84aea2bd,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
bb6278d8,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
2318e64e,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
eaedefa8,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
7fd53d36,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
2559a1b9,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
8827d576,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
977bebd6,3,3,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
52b078f6,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
7afe4776,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
81d3c5cb,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
c83dfd22,3,3,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
567f58d2,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
cb47aa28,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
13809b5a,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ab3cfc3f,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
97109ef1,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
b7e25ee7,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ed802bb1,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
40436a9,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
a46742ac,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
f67111e6,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
93f98e86,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
d2a2180d,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
95d5f440,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
1c71d890,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
32139dd6,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
7cb65175,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
7f14b548,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
fc378fdb,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
907d5ae8,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
7704ff91,3,3,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
efaba8d9,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
f23bad3c,3,3,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
e6dc6c8c,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
d38e9be3,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
4dea0e40,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
a856c188,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
4c286477,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ca7b437b,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
fbbdf3ef,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ef430916,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
f01f37b6,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
a91e2ea3,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
2a889a36,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
128c60f1,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
d4ec4618,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
8e0bafb0,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
96576838,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
82bfb06a,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
600d466,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
1a72c3f1,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
7e1e06f5,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
4d04e799,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
65378f95,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
176692cf,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
4d12c532,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
9019362d,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
96d2f4c6,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
71ab51bf,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
30177f19,3,3,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
d6b82eb1,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
abb03135,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
aa1637c7,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
dc3bcca9,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
95b19885,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
38635905,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
aeff27b0,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
837dda5d,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
1e9d9b90,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ffb987e3,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
5a6e6d05,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
da7c0dfe,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
a02d30c0,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
3f2e2bef,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ef28b287,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
521a4b19,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
4fa3674d,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
8773bcb1,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
8132fb46,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
a6c0c278,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
dd189813,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
b8b63720,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
2d664471,3,3,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
d1c7f2ee,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
16a27e58,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
cfd56b73,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
6f58f6af,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
3c83d630,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
8b265350,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ca19a91e,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
8e0d2910,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
dbd35af8,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ea894ddb,3,3,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
eb2f4b29,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
f793cd22,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
96962ef0,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
e8ab9f47,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
d995e4a1,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
b64b8f41,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
dbb17e2b,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
9c287bbf,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
8a61a599,3,3,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
847dedc3,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
99ede826,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
c9f60857,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
557896e2,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
68b9ffbc,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
990301ff,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
3d41bc07,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
58ef1334,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
7a106019,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
1361a5d7,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
e3bcd518,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
c54d0e6f,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
20f1c1a7,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
614def01,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
509b3528,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
4b3e7142,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
d626fbfd,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
261c331f,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
283f705f,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
3a6e2488,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
73801c61,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
2c6cf7cc,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
55af3c37,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
4270f61b,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
29fd1a68,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
41b67ee3,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
17fcb3d8,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
5b5bd5a2,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ca09c3a3,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
62f92997,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
1e0eeb73,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
2c7ad567,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
a0f583f7,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
1f8eddd2,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
ab2341d6,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
1887750e,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
75786a4,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
324e7ca9,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
3e911654,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
e91bbb1e,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
6fc2190e,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
696db720,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
6c46cd60,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
a3153b5c,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
9c3e5914,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
bd63ce04,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
4d5906e6,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
79e0b20f,2,2,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
97003afa,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
e8bdbdec,1,1,100.00%,超松（极高）- 过于激进的打法，可能玩太多弱牌,No
